"fasta[, 1]",HM.COVID19.2e0.Molecules.1.,HM.COVID19.2e0.Molecules.2.,HM.COVID19.2e1.Molecules.1.,HM.COVID19.2e1.Molecules.2.,HM.COVID19.2e2.Molecules.1.,HM.COVID19.2e2.Molecules.2.,HM.COVID19.2e3.Molecules.,HM.COVID19.2e3.Molecules.1.,HM.COVID19.2e3.Molecules.2.,HM.COVID19.2e4.Molecules.1.,HM.COVID19.2e4.Molecules.2.,HM.COVID19.2e5.Molecules.1.,HM.COVID19.2e5.Molecules.2.,HM.COVID19.2eNEG1.Molecules.1.,HM.COVID19.2eNEG1.Molecules.2.,HM35.1.,HM35.2.,HM36.1.,HM36.2.,HM37.1.,HM37.2.,HM38.1.,HM38.2.,HM39.1.,HM39.2.,HM40.1.,HM40.2.,HM41.1.,HM41.2.,HM42.1.,HM42.2.,HM43.,HM44.,HM45.,HM46.,HM47.,HM48.,HM49.,HM50.,HM51.,HM52.,HM53.,HM54.,HM55.,HM56.,HM57.,HM58.,HM59.,HM60.,HM61.,HM62.,HM63.,HM64.,HM65.,HM66.,HM67.,HM68.,HM69.,HM70.,HM71.,HM72.,HM73.,HM74.,HM75.,HM76.,HM77.,HM78.,HM79.,HM80.,HM81.,HM82.,HM83.,HM84.,NLC.HM.COVID19.2e5.Molecules.,NLC.PRO.192.Adeno.CoronaHKU1.Rhino.Entero,NLC.PRO.195.ND.,NTC.,NTC.,NTC.,NTC.,NTC.,NTC.,PRO.191.ND.1.,PRO.191.ND.2.,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.1,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.2,PRO.195.ND.1.,PRO.195.ND.2.,PRO.198.ND.,PRO.198.ND.1.,PRO.198.ND.2.,PRO.248.InfluenzaB.1.,PRO.248.InfluenzaB.2.,PRO.261.CoronaOC43.,PRO.261.CoronaOC43.1.,PRO.261.CoronaOC43.2.,PRO.384.InfluenzaB.Rhino.Entero.1.,PRO.384.InfluenzaB.Rhino.Entero.2.,PRO.421.CoronaHKU1.1.,PRO.421.CoronaHKU1.2.,PRO.444.CoronaOC43.1.,PRO.444.CoronaOC43.2.,PRO.448.InfluenzaAH1N1.1.,PRO.448.InfluenzaAH1N1.2.,PRO.453.Corona229E.1.,PRO.453.Corona229E.2.,PRO.472.CoronaNL63.1.,PRO.472.CoronaNL63.2.,PRO.483.InfluenzaAH3.1.,PRO.483.InfluenzaAH3.2.,PRO.497.InfluenzaAH1N1.Rhino.Entero.1.,PRO.497.InfluenzaAH1N1.Rhino.Entero.2.,PRO.590.CoronaNL63.1.,PRO.590.CoronaNL63.2.,PRO.609.Corona229E.1.,PRO.609.Corona229E.2.
OI_Mseg_3_G_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OI_Mseg_3_T_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OI_Mseg_3_G_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OI_Mseg_3_T_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_KY369909.2_7767-7806,0,0,0,0,6,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_KY369909.2_14115-14154,285,251,85,1057,59,153,0,273,672,432,162,311,791,0,0,9,225,3,37,2,16,59,8,0,62,0,0,7,0,0,0,23,333,168,381,346,138,23,6,203,0,187,156,2,920,6,260,65,636,24,386,703,0,45,0,0,19,54,1,0,0,0,0,21,0,222,0,0,0,0,0,18,453,0,0,0,839,0,0,0,362,90,0,0,0,1649,0,1535,162,4,0,0,355,320,0,141,0,0,0,0,0,0,0,0,351,0,312,1128,0,0,466,0,0,0,0,483
CV_KY369909.2_22566-22605,0,0,0,0,0,0,0,99,171,0,0,0,0,0,0,8,61,2,45,4,10,29,16,2,0,0,0,60,0,0,0,49,0,0,0,0,0,9,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0
CV_KF686344.1_2562-2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_KF686344.1_2713-2752,0,0,0,0,0,0,0,215,100,346,0,0,0,0,0,225,191,17,246,14,87,98,256,0,0,0,0,52,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,641,0,0,2,0,0,0,617,0,0,0,1208,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6831,3445,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CV_KF686344.1_7090-7129,88,0,0,0,726,120,129,37,72,63,0,28,0,0,0,2,75,0,46,0,0,3,0,0,0,0,0,30,0,0,0,105,39,0,4,174,46,11,0,0,109,2,22,0,0,0,0,0,257,24,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0
CV_MK462255.1_9421-9460,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,11,141,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_MK462255.1_25866-25905,194,374,0,0,775,0,0,147,0,252,940,206,0,0,0,1015,0,1862,209,305,405,289,1358,390,0,0,0,27,0,0,0,99,0,0,1,457,0,1,468,187,0,1,0,0,174,423,569,1192,0,0,566,456,359,0,8,9,0,0,0,0,487,0,0,1125,3,0,147,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,0,582,0,1130,0,0,0,0,0,0,0,291
CV_MK462255.1_29968-30007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0
CV_MK062184.1_15028-15067,0,774,0,0,0,120,0,0,0,1601,2182,9750,10934,1,0,0,0,254,1034,5,73,0,0,0,0,148,519,4,68,16,0,5,88,532,0,0,6003,3351,50,271,0,525,109,114,76,993,2,0,0,156,0,0,0,1,234,386,0,66,1206,0,0,313,0,3,407,51,14,264,0,73,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
CV_MK062184.1_15760-15799,0,0,0,0,0,0,0,0,0,1943,4507,19705,20465,1,0,207,185,773,1096,783,381,441,587,239,0,299,118,22,0,492,0,63,0,925,117,0,5900,188,226,80,0,0,114,0,0,166,0,0,0,93,1,0,0,0,0,174,0,0,1494,0,0,0,0,180,145,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0
CV_MK062184.1_29788-29827,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_MG428704.1_2737-2776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0
CV_MG428704.1_7822-7861,0,0,0,0,1461,225,0,187,0,0,0,0,0,0,0,0,0,21,84,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,9,0,0,0,0,167,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_MG428704.1_20466-20505,0,0,0,0,6,0,0,0,15,0,0,3,0,0,0,308,159,19,46,31,33,162,175,1,202,6,1,0,36,2,0,1,0,17,0,0,11,0,3,38,0,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,0,26,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,45,0,0,0,0,0,7,0,0,0,0,1,321,0
CV_FJ415324.1_6542-6581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_FJ415324.1_8530-8569,262,0,0,0,1,0,0,0,255,0,0,124,0,0,0,584,245,107,498,143,254,371,393,47,363,0,0,82,0,23,0,387,214,296,122,0,203,51,7,0,0,127,71,0,0,0,0,0,0,0,0,0,97,0,1,0,8,0,0,509,225,6,109,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_FJ415324.1_9487-9526,0,0,0,0,0,18,0,0,165,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,55,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_32-471:mt,3,54,3,0,0,0,12,27,2,133,2,9,0,1,0,10,2,0,20,1,10,34,12,0,22,0,0,0,0,0,0,28,13,0,0,85,42,0,0,0,116,0,19,0,43,0,0,0,0,0,0,0,13,2,0,0,0,0,0,1,1,0,33,0,0,0,0,54,1,2,0,0,1,0,0,0,0,0,1399,0,0,8,0,0,0,3,118,11,1,7,1,0,2,4,0,4,0,1,214,1,0,0,3,4,30,1,3,7,7,0,1,10,4,1,1,0
CV_NC_045512.2_32-471:wt_C-T,1050,943,701,775,3648,217,806,740,340,867,1956,320,1074,110,137,34,632,1,86,1,12,128,78,4,31,1,0,115,0,1,1,199,500,634,154,360,331,15,0,11,816,121,88,1,149,0,26,57,197,40,379,81,1,110,5,0,1,3,0,391,127,2,137,1,1,81,1,546,297,116,0,1,302,0,0,0,168,104,5967,0,16,1654,95,592,73,5725,1137,8325,18,1514,342,621,6537,378,1327,5919,3515,3240,1956,81,322,3068,4681,881,516,1547,1318,2014,3221,75,846,1978,522,118,522,976
CV_NC_045512.2_305-744:mt,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_305-744:wt_T-C,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_1188-1627:mt,386,0,0,509,424,759,0,506,192,52,373,1901,2253,1,0,0,0,30,207,19,30,0,0,0,0,18,56,48,0,29,0,32,2,442,354,138,2767,628,10,404,0,0,171,66,478,76,0,281,232,85,507,9,0,415,1,11,0,0,62,0,0,0,101,58,9,197,7,191,0,228,0,72,33,0,0,0,28,0,0,0,458,18,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CV_NC_045512.2_1188-1627:wt_G-A,398,255,76,1,1,1307,0,470,343,1218,2471,5867,8424,0,0,0,0,17,572,0,166,79,0,0,0,113,318,75,1,3,0,0,0,0,238,0,9411,1692,57,520,567,92,199,2,292,97,1,600,0,252,529,855,0,2,51,114,0,0,666,0,0,0,4,165,102,339,25,109,0,5,0,82,1764,0,0,0,94,0,0,0,1031,2771,0,0,570,0,0,0,1077,0,0,0,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,2,655,0,0,0,0,0,1,0,0
CV_NC_045512.2_2828-3267:mt,0,0,0,0,1,0,0,0,0,5,13,136,409,0,0,2,70,0,91,0,0,6,0,0,0,0,0,2,0,0,0,83,0,46,20,0,2156,81,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_2828-3267:wt_C-T,0,0,0,0,188,0,0,0,0,1164,3035,2625,17224,0,0,17,226,0,128,0,1,18,4,0,5,0,0,119,0,0,0,143,0,57,25,68,306,29,0,18,361,7,0,0,0,0,1,10,112,11,0,0,0,0,0,0,0,0,1,0,16,0,24,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
CV_NC_045512.2_8573-9012:mt,0,226,0,2,0,0,0,22,210,933,625,1433,2979,0,0,71,87,17,455,23,144,74,18,21,95,0,4,58,0,13,11,24,2,122,13,84,4395,1801,0,5,191,266,28,0,2,6,0,48,151,31,0,185,56,0,8,3,0,0,12,0,0,1,0,0,2,101,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
CV_NC_045512.2_8573-9012:wt_C-T,0,0,0,113,337,0,0,0,43,111,681,901,2462,0,0,117,139,93,2068,48,183,66,0,12,5,21,74,5,73,15,0,36,159,932,91,0,27048,7373,9,132,1,572,0,0,116,122,0,35,118,136,0,3,3,1,78,94,0,2,531,0,157,9,1,0,89,0,0,267,0,0,0,2,141,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,3,0,0,0,592,0,0,0,0,1,0,0,0,0,0,0,0,172,0,0,1,0,0,0,0,0,0,0
CV_NC_045512.2_10874-11313:mt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,0,310,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_10874-11313:wt_G-T,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,143,0,0,0,6,3,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14199-14638:mt,0,0,0,1,0,0,0,1,0,4,3,240,13,0,0,103,0,27,403,10,29,68,18,9,0,1,0,0,0,0,0,35,0,0,62,0,1315,223,2,0,0,0,63,2,0,10,204,0,0,0,0,0,0,0,0,7,0,0,11,0,262,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14199-14638:wt_C-T,0,263,0,600,0,104,0,120,0,1897,1914,8963,13111,1,0,250,117,66,567,39,22,144,67,0,0,1,0,20,0,29,39,43,0,0,0,0,258,14,4,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,1,0,3,0,0,0,0,0,0,0,801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14596-15035:mt,0,0,0,0,0,0,0,146,0,3,0,129,7,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_14596-15035:wt_C-T,0,0,0,0,0,0,0,0,0,583,284,247,1306,0,0,0,0,1,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,90,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_17538-17977:mt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_17538-17977:wt_C-T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_17649-18088:mt,376,0,1,0,0,0,0,0,0,0,784,883,650,0,0,2,0,3,111,0,0,0,0,0,0,0,0,0,0,85,136,0,0,0,0,0,46,128,0,2,0,0,0,0,124,0,0,0,0,3,0,4,0,0,0,19,0,0,116,1,2,0,0,1,31,0,0,1,463,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
CV_NC_045512.2_17649-18088:wt_A-G,1009,275,87,0,819,0,0,119,577,670,1571,3119,7630,0,218,53,0,2,352,1,0,48,6,0,0,0,43,106,27,14,0,0,243,216,396,410,8900,2887,3,218,0,281,155,0,163,24,0,87,680,617,0,734,0,0,2,32,8,0,63,717,161,0,0,12,14,142,0,114,1,96,0,67,459,0,0,0,485,0,0,0,262,0,0,0,6,0,0,1327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,178,0,0,0,369
CV_NC_045512.2_17851-18290:mt,0,0,0,0,0,0,0,0,0,3430,5721,15163,27011,1,0,101,192,105,1799,17,577,0,0,0,0,503,1036,21,37,85,167,0,0,437,0,0,2771,7780,9,661,0,735,0,1,0,44,0,0,0,549,11,0,0,0,330,148,0,0,114,0,0,25,0,2,68,78,0,12,68,11,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,1,1,0,1,4,0,1,0,0,0,1,1,0,0,2,3,0,0,0,1,1,0,0,0,0
CV_NC_045512.2_17851-18290:wt_C-T,0,0,2,0,0,0,0,1,0,649,369,3088,4264,0,0,988,332,2620,24267,124,1829,0,2,0,1,864,4943,711,3576,125,6,0,1950,1820,1,1,123368,117511,273,4869,1,7038,1,875,0,7062,0,213,2,18187,8808,0,0,11,5931,8407,0,118,9833,0,0,796,0,4,3706,895,36,3133,4,863,1,7,2163,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,5,1,0,0,8,0,0,0,0,0,0,1,0,3,2,0,0,1,1,0,0,0,0,2,0,0,0,0
CV_NC_045512.2_21502-21941:mt,0,0,0,114,0,0,0,83,0,0,0,28,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,69,0,0,0,0,3,0,0,0,1,0,21,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_21502-21941:wt_C-T,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,113,0,31,0,0,2,0,0,0,0,0,15,0,0,0,56,0,0,0,0,334,0,0,0,484,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV_NC_045512.2_23194-23633:mt,491,0,111,194,2,95,0,209,620,175,0,241,76,0,24,50,0,14,141,0,76,150,63,10,0,1,9,17,69,6,0,71,355,0,674,0,866,57,2,205,0,121,63,0,446,11,127,0,1,50,421,600,1,308,0,2,0,0,8,0,0,0,0,12,1,33,0,136,0,3,0,17,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,666,0,0,0,0,0,0,0,0
CV_NC_045512.2_23194-23633:wt_A-G,132,241,136,790,0,86,0,247,211,321,468,530,574,0,0,1,0,5,35,0,27,34,0,0,1,0,0,0,0,3,0,0,73,0,459,0,54,60,0,332,0,113,207,1,333,2,224,152,594,72,0,3,87,255,0,0,0,33,5,0,0,0,0,17,1,158,0,0,0,270,0,10,626,0,0,0,44,0,0,0,72,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CV_NC_045512.2_25935-26374:mt,0,0,0,2,0,0,0,97,0,152,0,4,0,0,0,0,0,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
